tag_name,bnb_scores_mean,svc_scores_mean,rfc_scores_mean,gbc_scores_mean
codeigniter,0.60793506489274696,0.70488027177065204,0.10928341841557949,0.56621152108956985
spring,0.6528792259176559,0.75163835514712707,0.25152429568905538,0.65773809523809523
sqlalchemy,0.73366805380227307,0.9018514398714621,0.3751595434887669,0.82855380820228186
oauth,0.67679198131887641,0.81179724763468608,0.27978025872762713,0.75996421418956628
mysql,0.43006030185785499,0.40490181922636465,0.040554872304635586,0.33146230677669897
oracle,0.55553559308500022,0.65156609574000879,0.19761136456362893,0.54301159776406482
postgresql,0.59501002049134188,0.64776384401085363,0.12460156476383656,0.50039049001313163
sqlite,0.61325382627708214,0.71196027955101204,0.23204392140562358,0.62364028507126779
ubuntu,0.60674855832100671,0.57900657154697766,0.12943845717526944,0.51418655053262174
debian,0.6821141277023629,0.71884723463670841,0.18750598060942889,0.61536507936507945
centos,0.58989291575701797,0.5558396363765491,0.12317527433806504,0.48964964032500125
osx,0.46401691522145,0.41916603498927091,0.086392401543714484,0.33530890804597702
windows-7,0.43995949923001598,0.44484050456027679,0.055667258722617415,0.39781960104351749
python,0.43921631617531981,0.3299930673725342,0.032522743790579366,0.26172254209637386
java,0.19897744527279529,0.14385964912280702,0.016064257028112452,0.14083462773117947
c++,0.17818865663693251,0.24863026043074707,0.00823045267489712,0.091460033370219671
c,0.26705963187931187,0.2426183835603207,0.00823045267489712,0.13946176119911433
ruby,0.36293906810035842,0.37967508302436531,0.055382646885914856,0.37558126721763091
haskell,0.71850079744816586,0.74621139284672922,0.21936217217134632,0.64502842159479334
